city,propertyType,livingArea,lotSize,yearBuilt,Prezzo Reale,Prezzo Predetto
Boise City,singleFamily,1119.0,4051.08,1948.0,419900,422390
Columbus,singleFamily,2132.0,5662.8,2003.0,315000,412664
San Jose,singleFamily,2647.0,7392.0,1969.0,2499000,1400374
Chandler,singleFamily,2473.0,7776.0,2018.0,665000,693395
Birmingham,singleFamily,1614.0,10018.8,1972.0,399900,291023
Fresno,singleFamily,2686.0,9021.276,2003.0,700000,537137
San Jose,singleFamily,1189.0,5520.0,1915.0,899999,898954
Madison,singleFamily,1884.0,5227.2,1939.0,319900,430235
Sacramento,singleFamily,2379.0,11761.2,1970.0,799000,687022
Reno,singleFamily,1444.0,19166.4,1979.0,450000,552161
Hialeah,singleFamily,728.0,2250.0,1965.0,340000,449779
Columbus,singleFamily,1787.0,6969.6,1999.0,197600,376586
Durham,singleFamily,2416.0,8276.4,2013.0,390000,565919
Durham,singleFamily,1885.0,20037.599999999995,1971.0,400000,465400
Little Rock,singleFamily,1265.0,8276.4,2010.0,177000,298749
Fayetteville,singleFamily,1152.0,21344.399999999998,1993.0,205000,247943
St. Petersburg,singleFamily,1874.0,15738.000000000002,1966.0,849950,507501
Irvine,singleFamily,2357.0,89502.732,1985.0,2500000,1403538
Modesto,singleFamily,1123.0,6599.34,1967.0,410000,407167
San Jose,singleFamily,1592.0,8125.0,1958.0,2650000,1060629
Minneapolis,singleFamily,2748.0,7405.2,1938.0,359000,480616
New Orleans,multiFamily,1832.0,3600.0,1920.0,578000,308755
Albuquerque,singleFamily,1483.0,5227.2,1998.0,320000,380781
Fremont,singleFamily,1008.0,3484.8,1912.0,199900,243214
Moreno Valley,singleFamily,1707.0,6970.0,1989.0,549800,529563
Fort Wayne,singleFamily,1582.0,18295.2,1962.0,169900,277404
San Antonio,singleFamily,3224.0,8450.64,2006.0,450000,450980
Bakersfield,singleFamily,2245.0,8712.0,1976.0,739900,484865
Glendale,singleFamily,1750.0,9796.0,1975.0,499900,394568
Cincinnati,singleFamily,1967.0,106460.64,1996.0,450000,447082
